Tree,Canker,DateInfected,Site,Height,Plot,TRT,Area,2012Code,CODE2012,2012V,2012Euro,2012COLI,2012Tricho.,2012Didym.,2012Botryo,2012Penic.,2012Pest.,2012Epico,2012Paraco.,2012#3 Dothiorella,2012Umbel.,2012Unknow,2012VC,2012Rating,CODE2011,2011V,2011Euro,2011COLI,2011Cont.,2011VC,2011Rating,CODE2010,2010V,2010Euro,2010COLI,2010Cont.,2010VC,2010Rating,CODE2009,2009V,2009Euro,2009COLI,2009Cont.,2009VC,2009Rating,Rating2008,CODE2007,"n/no/o,n/o",Living(1)Dead(0),VC07VC,V2007,Euro,COLI,Cont.,Rating07Canker,CODE2006,Living(1)Dead(0),VC06 VC,V2006,Euro,COLI,Cont.,Rating06,CODE2005,Living(1)Dead(0),TrtPlot,Tree05Trt,Canker05Trt,Status2005,VC05 VC,V2005,Euro,COLI,Cont.,Rating05Canker,CODE2004,Tree04Trt,Canker04Trt,Status2004,Compat04 VC,04V,04 Euro,04 COLI,04 Cont.,Rating04Canker,Tree03Trt,Canker03Trt,Compat03 VC,Status2003,03V,03 Euro,03 COLI,03 Cont.,Rating03Canker,Compat02 VC,Status2002,02V,02 Euro,02 COLI,02 Cont.,02 Trich,RatingCanker,Compat01 VC,Status2001,01V,01 Euro,01 COLI,01 Cont,01 Tricho,RatingCanker,Compat2000 v-c,Status2000,00 V,00 Euro,00 COLI,00 Cont,00 Trich,RatingCanker,Compat.99 v-c,Status1999,99V1999,99 Euro,99 COLI,99 Cont,99 Trich,RatingCanker,Status1998,98V1998,98 Euro,98 COLI,98 Contam.,Rating98 Canker,Status1994,94 V,94 COLI1994,94 Cont.,Status1995,95 V,95 COLI1995,95 Cont.,Status1996,96 V1996,96 COLI,96 Cont.,96 Euro,1997Status,97 V1997,97 COLI,97 Euro,97 Cont.,NANA,NANA,,,NANA
4062,C1,12-Jun,Rhyme,2,1,2,2,0,24,12,0,0,0,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4064,C2,12-Jun,Rhyme,3,1,2,2,1,24,9,0,0,4,1,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4066,5,12-Jun,Rhyme,1.5,1,2,2,1,24,7,0,0,,,,,,,,,1,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4066,B1,12-Jun,Rhyme,3,1,2,2,0,24,11,1,0,,,,,,,,,,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4064,A2,7-May,Rhyme,3.5,1,2,2,0,24,3,2,0,8,,,,,,,,,,1,2,,,,,,,,,,,,,,,24,5,3,0,4,1,2,,26,3,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4057,1,7-May,Rhyme,13,1,2,2,0,24,5,5,0,4,,,,,,,,,,1,2,24,4,4,0,4,1,1,,,,,,,,24,4,3,0,5,1,2,1,24,1,1,1,11,0,0,1,4,,,,,,,,,24,1,2,,,,,,,,,,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4066,3,10-Jun,Rhyme,3,1,2,2,1,24,11,5,2,,,,,,,1,,,,1,3,14,6,3,0,3,1,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4064,A3,9-Jun,Rhyme,4,1,2,2,0,24,3,6,0,3,,,,,,,,,,1,2,,,,,,,,12,,,,,,,25,0,1,0,11,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4064,A1,3-Sep,Rhyme,0.5,1,2,2,1,24,1,7,0,3,,,1,,,,,,,1,1,,,,,,,,,,,,,,,24,1,4,0,7,1,2,1,26,3,1,1,6,5,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4055,1,4-Jun,Rhyme,0.25,1,2,2,0,24,2,7,0,3,,,,,,,,,,1,,,,,,,,,,,,,,,,24,5,2,0,5,1,1,1,24,1,1,,0,1,0,11,2,24,1,1,2,0,0,10,3,24,1,2,2,2,1,1,5,0,0,7,4,24,2,2,1,,6,0,0,6,4,2,2,1,1,12,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4059,C1,12-Jun,Rhyme,1,1,2,2,0,24,11,8,0,3,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4054,A2,7-May,Rhyme,4,1,2,2,0,34,2,0,0,4,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,26,3,1,4,6,0,0,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4073,B1,12-Jun,Rhyme,0.25,1,0,2,0,36,5,0,0,8,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4071,B1,12-Jun,Rhyme,3,1,2,2,0,36,11,4,0,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4069,5,2-May,Rhyme,8,1,2,2,0,24,1,0,0,9,,,,,,,,,,3,1,24,0,1,0,11,,,,,,,,,,24,2,3,0,7,3,1,,NS,,,,,,,,,NS,1,,,,,,,24,1,2,2,2,1,3,9,1,0,2,3,24,2,2,1,3,4,6,0,2,,,2,3,1,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4069,A1,11-Jun,Rhyme,3,1,2,2,0,24,1,0,0,0,,,,,,,,,,3,2,26,11,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
423,7,11-Jun,Rhyme,2,1,2,2,0,24,12,2,0,9,,,,,,,,,,3,4,25,2,7,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4067,,,Rhyme,,1,0,2,0,26,0,9,0,,,,,,,,,,,3,,,,,,,,,,,,,,,,ns,,,,,,,,,,1,,,,,,,NS,0,,,,,,,26,1,2,,,,,,,,,,26,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4054,A1,7-May,Rhyme,1,1,2,2,0,34,7,0,0,10,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,26,3,1,1,4,0,0,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4071,A1,12-Jun,Rhyme,1,1,2,2,0,36,3,0,0,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4066,A1,12-Jun,Rhyme,3,1,2,2,0,24,11,0,0,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4056,A1,12-Jun,Rhyme,5,1,2,2,0,24,5,0,0,8,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
4055,2,4-Jun,Rhyme,0.25,1,2,2,0,24,2,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,ns,,,,,,,1,24,1,1,,,,,,2,24,1,,,,,,3,24,1,2,2,2,ns,,,,,,4,24,2,2,1,3,7,1,0,4,4,,2,3,1,12,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
38,12,May-99,Bock.,8,2,0,1,1,14,1,0,0,11,,,,,,,,,,1,1,,,,,,,,,,,,,,1,ns,,,,,,,2,14,1,1,1,2,2,0,8,2,15,1,,0,1,0,11,1,15,1,2,0,0,2,,1,3,0,8,4,15,0,0,2,1,8,0,0,4,,,,,,,,,,,1,1,2,6,0,4,0,3,,2,0,12,0,0,0,4,,0,,,,,,,1,2,5,7,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
830,7,12-Jun,Bock.,4,2,2,1,0,14,0,0,0,7,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
282,A1,12-Jun,Bock.,0.5,2,2,1,1,14,4,0,0,0,4,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
164,6,9-Jun,Bock.,6,2,2,1,0,14,2,0,0,11,,,,,,,,,,1,,14,0,1,0,11,,1,,,,,,,1,15,7,0,0,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
115,13,4-Jun,Bock.,4,2,2,1,0,14,2,1,0,10,,,,,,,,,,1,1,14,0,2,0,10,1,,,,,,,,1,ns,,,,,,,3,14,1,1,,0,3,0,9,1,14,1,,0,0,0,12,2,14,1,2,2,2,1,,0,1,0,11,1,14,2,2,1,1,5,0,0,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
34,28,5-May,Bock.,7,2,2,1,1,14,0,1,0,5,,,,,,,,,5,1,1,14,0,4,0,8,,3,,,,,,,1,ns,,,,,,,,NS,,1,,,,,,,14,1,1,0,0,0,12,1,14,1,2,2,2,1,,0,7,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
111,5,1-May,Bock.,7,2,2,1,0,14,6,2,0,4,,,,,,,,,,1,1,14,2,7,0,3,1,1,,,,,,,1,ns,,,,,,,2,14,1,1,1,2,7,0,3,1,14,1,1,1,11,0,0,2,14,1,2,2,2,1,,0,4,0,8,1,14,2,2,1,3,2,6,0,4,1,,,,,,,,,,1,1,3,5,0,4,0,3,1,2,7,5,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
54,2,Jun-95,Bock.,5 to 15,2,2,1,0,14,5,3,0,5,,,,,,,,,,1,1,,,,,,,,,,,,,,,ns,,,,,,,1,14,1,1,1,7,0,0,5,,14,1,,,,,,1,14,1,2,2,2,1,,,,,,4,14,2,,m,,,,,,,,,,,,,,,,,m,,,,,,,1,1,6,0,0,6,0,3,,1,0,1,0,11,0,1,1,1,0,1,0,10,1,4,,,,,,,,,,,2,5,0,7,1,0,0,5,7,1,2,0,9,1,NA,NA,,,NA
64,7,Jun-97,Bock.,6,2,2,1,1,14,1,3,0,2,3,2,,,,,,,,1,1,,,,,,,,,,,,,,,14,1,5,0,6,1,1,1,14,1,1,1,1,7,0,4,1,14,1,,0,0,0,12,1,14,1,2,0,3,1,,2,1,0,9,4,14,0,,ns,,,,,,,,,,,,,,,,,ns,,,,,,,,NS,,,,,,,,0,,,,,,,,0,,,,,,,1,0,3,0,9,1,,,,,,,,,,,,,,2,8,0,1,3,NA,NA,68,85,NA
195,B4,9-Jun,Bock.,1.5,2,2,1,0,14,2,3,0,,,1,,1,1,,,,1,1,1,14,2,4,0,6,1,1,,,,,,,,15,1,8,0,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
115,14,11-Jun,Bock.,2,2,2,1,0,14,0,3,0,7,,,,,,,,,,1,1,15,1,0,0,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
62,9,Jun-97,Bock.,4,2,2,1,0,14,3,3,0,6,,,,,,,,,,1,2,14,0,12,0,0,1,,,,,,,,,14,1,2,0,9,1,2,2,14,1,1,1,6,4,0,2,1,14,1,1,1,11,0,0,2,14,1,2,2,2,1,,0,6,0,6,1,14,2,2,1,1,3,5,0,4,2,,,,,,,,,,,1,0,4,0,8,0,1,1,1,9,2,0,1,0,1,1,1,6,1,0,5,0,3,,0,,,,,,1,1,0,1,0,11,1,,,,,,,,,,,,,,2,1,0,4,7,NA,NA,,,NA
62,14,Jul-98,Bock.,9,2,2,1,0,14,1,3,0,8,,,,,,,,,,1,2,,,,,,,,,,,,,,,14,4,1,0,7,1,2,2,14,1,1,,,,,,1,NS,1,,,,,,,14,1,2,,,merged,,,,,,,14,2,2,1,1,3,4,0,5,3,,,,,,,,,,,m,,,,,,1,,2,0,12,0,0,0,4,,0,,,,,,,,0,,,,,,,2,2,2,0,8,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
326,A7,11-Jun,Bock.,6.5,2,2,1,0,14,0,3,0,,,,,,,,,,,1,3,15,12,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
164,2,Jul-98,Bock.,0.25,2,2,1,0,14,1,3,0,8,,,,,,,,,,1,,,,,,,,,,,,,,,1,14,2,9,0,1,1,1,1,14,1,1,,0,8,0,4,1,NS,1,,,,,,,14,1,2,2,2,1,,4,0,0,2,2,14,2,2,1,1,12,0,0,0,2,,,,,,,,,,1,1,1,9,0,2,0,3,1,3,2,10,0,0,0,2,,0,,,,,,,,1,1,0,0,11,0,2,,,,,,4,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
164,7,9-Jun,Bock.,15,2,2,1,0,14,1,3,0,7,,,,,,,,,,1,,14,1,2,0,9,1,,,,,,,,,15,0,3,0,9,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
195,B9,12-Jun,Bock.,,2,2,1,0,14,2,3,1,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
34,4,May-93,Bock.,4.5,2,2,1,1,14,7,4,0,1,,,,,,,,,,1,2,,,,,,,,,,,,,,,14,,,,,,1,1,14,1,1,,,,,,1,14,1,,,,,,2,14,1,2,2,2,1,,,,,,2,14,2,,m,,,,,,,,,,,,,,,,,m,,,,,,1,1,1,2,7,0,3,0,1,,0,,,,,,1,,1,0,0,0,0,12,1,1,1,0,0,11,1,1,0,4,0,1,1,1,10,1,2,0,10,0,1,4,0,0,8,NA,NA,,,NA
195,B2,8-Jun,Bock.,5,2,2,1,0,14,4,4,0,,,1,,,,,,,,1,2,,,,,,,,,,,,,,,14,0,1,1,10,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
830,1,9-Jun,Bock.,6,2,2,1,0,14,3,4,0,7,,,,,,,,,,1,2,14,4,2,0,6,1,2,,,,,,,,16,7,5,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
195,C4,10-Jun,Bock.,4,2,2,1,1,14,2,4,0,,,2,,,,,,1,,1,3,14,0,9,0,3,,1,15,2,0,0,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
164,5,8-Jun,Bock.,5,2,2,1,0,14,5,4,0,,,,,,,,1,,,1,,14,3,1,5,3,1,1,,,,,,,1,14,2,0,0,10,1,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
54,4,2-May,Bock.,0.5,2,2,1,0,14,1,5,0,5,,,,,,,,,,1,1,,,,,,,,,,,,,,,ns,,,,,,,1,NS,,1,,,,,,,14,1,,,,,,1,14,1,2,2,2,1,,,,,,4,15,2,,m,,,,,,,,,,,,,,,,1,2,5,1,0,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
195,B5,11-Jun,Bock.,1,2,2,1,0,14,0,5,0,,,1,,,,,,2,1,1,1,15,8,2,0,2,1,4,15,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
38,11,May-99,Bock.,4,2,0,1,1,14,1,6,0,5,,,,,,,,,,1,1,15,0,6,0,6,1,,,,,,,,1,15,1,3,0,8,,3,1,14,1,1,1,4,3,0,5,1,15,1,1,2,5,0,5,1,15,1,2,0,0,2,1,8,0,1,3,,15,0,0,2,1,6,0,0,6,1,,,,,,,,,,1,1,5,5,0,2,0,1,,2,0,4,0,6,2,2,1,1,11,0,0,1,0,3,1,2,3,6,0,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA
